epoch,loss,val_loss,acc,val_acc,val_f1
1,1.2558564459790988,0.6874926193484239,0.40926493108728945,0.6576362012503721,0.6420209803061736
2,0.7859269283103699,0.45647743668939383,0.5826952526799387,0.7296814528133373,0.7250957031076709
3,0.612053003154543,0.32507324609018506,0.655436447166922,0.7895206906817506,0.7847763427534594
4,0.5119903016721412,0.24813100594384152,0.6975497702909648,0.8255433164632331,0.8239621421203859
5,0.428306987683992,0.19355562289600217,0.7350689127105666,0.8609705269425424,0.8595692104397319
6,0.37703458597807554,0.15404630035516761,0.7559979581419092,0.8773444477523072,0.8745372011598667
7,0.3254393018630086,0.1282622740515286,0.7839458907605922,0.8978862756772849,0.8945171926868954
8,0.28294540018280395,0.11551815721766269,0.8081929555895865,0.9071152128609705,0.9060322289770713
9,0.25541991415024945,0.11210846374687251,0.8177641653905053,0.9074129205120571,0.9048671362711396
10,0.22995590299405919,0.103582787982166,0.8407350689127105,0.914855611789223,0.9139163359102894
11,0.19927522518424964,0.09750266304028975,0.8528586013272078,0.9220005954153022,0.9211240914330912
12,0.1907491388041716,0.0913916675987864,0.8545176110260337,0.9261685025305151,0.9251415595718561
13,0.17964810995974254,0.08721603904081608,0.8601327207759061,0.9291455790413814,0.9283218641602455
14,0.16360244633420845,0.08427173559321091,0.8730219499744768,0.9309318249479012,0.9302177722045967
15,0.1526675781662747,0.0820718434935164,0.8802960694231751,0.935099732063114,0.9342608039861191
16,0.15215023495233143,0.07706196725096864,0.8760847371107708,0.9342066091098541,0.9334313992640225
17,0.15287821359423998,0.08139236491738952,0.8809341500765697,0.9306341172968146,0.9293350397260901
18,0.14956532323314828,0.07580097869705198,0.8765952016334865,0.938374516225067,0.9380538567185526
19,0.14373620171147417,0.07668398993151813,0.8829760081674324,0.9353974397142006,0.9343795006235666
20,0.15054285201381853,0.0763472929925012,0.8802960694231751,0.9348020244120274,0.9342169987288487
21,0.14797513358085893,0.07678442667344955,0.8792751403777438,0.9368859779696338,0.9360509576240177
22,0.1470492243253607,0.0729747874802602,0.878764675855028,0.9395653468294135,0.9387446834948798
23,0.1516202257537492,0.07908516860271837,0.8794027565084227,0.9362905626674606,0.9357126886696913
24,0.14390931877530921,0.07820583678317018,0.8802960694231751,0.9389699315272403,0.938344051818472
25,0.14242212029021917,0.07708265521361596,0.8861664114344053,0.9389699315272403,0.9381617376132857
26,0.1413981972936997,0.07629292548143504,0.8806789178152118,0.9345043167609407,0.9338934969655764
27,0.14198704223215047,0.0787828355909109,0.881955079122001,0.9392676391783269,0.9384660670391547
