epoch,loss,val_loss,acc,val_acc,val_f1
1,1.321263239821609,0.8028075596938531,0.5173557937723329,0.682941351592736,0.674753398042887
2,0.9679706847485231,0.7174591971472615,0.6463757018887187,0.7240250074426913,0.7053486147625709
3,0.8040126102767429,0.5355557497413386,0.7062276671771311,0.8011312890741292,0.7900841748040153
4,0.707291289145241,0.5117267562786029,0.7392802450229708,0.8014289967252158,0.7877650912253181
5,0.6280607255821934,0.5029232712639939,0.7708014293006636,0.8130395951175945,0.8052179965009286
6,0.5359085732804877,0.3954644521343566,0.8053854007146504,0.8514438821077702,0.8487203881015244
7,0.4766132678456452,0.36900980368788755,0.8278458397141398,0.8591842810360226,0.8526323780586442
8,0.41240233105740376,0.31280096956484377,0.847753956100051,0.8838940160762132,0.8822133782478606
9,0.36435954146543326,0.25911116003990176,0.8662582950484942,0.900267936885978,0.897952265243463
10,0.3134036863384274,0.2713033746839279,0.8843797856049005,0.9032450133968443,0.900344707556149
11,0.28389607729884436,0.21505318349573782,0.8945890760592139,0.9231914260196487,0.9217987636402383
12,0.2499990200367281,0.21941265620546238,0.9101582440020418,0.9193212265555225,0.917964525429328
13,0.22034147697624426,0.1944073257752323,0.9189637570188872,0.9324203632033343,0.9315744718794154
14,0.1896302160859222,0.18661338440627637,0.9309596733027055,0.9353974397142006,0.9346141733314788
15,0.17582522080771681,0.1806270132169413,0.9352986217457887,0.9404584697826734,0.9398026560339441
16,0.15541166759723304,0.18846366568880815,0.944104134762634,0.9380768085739803,0.9380535605878472
17,0.14971118377573903,0.1882848992018331,0.9447422154160285,0.9398630544805001,0.939220777918141
18,0.14304678187876635,0.17919944314236913,0.9480602348136804,0.9428401309913664,0.9423032523942455
19,0.13495742336880148,0.18112419740711977,0.9515058703420113,0.9413515927359333,0.9408425395563543
20,0.13240671686190228,0.17772411967903498,0.9513782542113323,0.9455194998511461,0.9451394773049261
21,0.13319280067962425,0.17314603554853722,0.9506125574272588,0.9428401309913664,0.9425583079029717
22,0.13286328469011077,0.18325823635411023,0.9506125574272588,0.9428401309913664,0.9424183265449346
23,0.13239722350560015,0.17933503224561545,0.9498468606431854,0.9431378386424532,0.9424390371628539
24,0.13481159907152723,0.1821001696464442,0.9507401735579377,0.9431378386424532,0.9425075354199414
25,0.13508705543033417,0.18281150360867504,0.9481878509443593,0.9422447156891932,0.941570287674581
26,0.14456927204547373,0.19013201827898835,0.9446145992853496,0.9410538850848467,0.940548889050638
27,0.14810414414767328,0.1789405950734796,0.9438489025012762,0.9428401309913664,0.942168366227819
28,0.15789684754325914,0.1766817606097902,0.9414241960183767,0.9422447156891932,0.9417030992616578
29,0.16734851195265502,0.19564095414432467,0.9375957120980092,0.9333134861565943,0.9335226034731409
30,0.1850659039041992,0.19198589694216414,0.9307044410413476,0.9348020244120274,0.9344487867034297
